state_classifier,detection mean,detection std,Abnormal mean F1-score,Abnormal std F1-score,Normal mean F1-score,Normal std F1-score,Overall mean F1-score,Overall std F1-score
RF,97.9562273089857,0.349340903826345,63.9632059903511,1.71208152244735,89.7157062786683,0.519156528792947,83.6948338496264,0.782625699080316
MLP,87.7915459801438,9.47328241177791,51.1987654746428,12.856297154603,88.1556761113819,2.09642544203882,76.8678930577713,7.92931111823256
ET,82.409158056959,13.8206322995931,45.2288482471833,16.4735658057664,88.2828581509713,1.29605216136178,72.903139403619,10.6226244152689
DT,97.8942620997848,0.290251914528514,49.860891292093,4.07246539337827,79.4356528627707,3.07506443479538,70.6956752904638,3.70033676931799
XGB,96.3880288957688,,48.2315112540193,,79.0273556231003,,69.1434468524252,
NB,61.5649183147034,,18.859649122807,,81.1881188118812,,56.749785038693,
