quantization,state_classifier,detection mean,Abnormal mean F1-score,Normal mean F1-score,Overall mean F1-score
float,xtree,99.16317991631799,64.36781609195403,87.76978417266189,81.3807531380753
uint8,xtree,99.16317991631799,64.88549618320612,87.89625360230548,81.58995815899581
