quantization,state_classifier,detection mean,Abnormal mean F1-score,Normal mean F1-score,Overall mean F1-score
float,mlp,99.16317991631799,68.04979253112033,89.5104895104895,84.10041841004184
int8,mlp,99.16317991631799,62.10045662100456,88.7381275440977,82.63598326359832
